"away","home","date","as","hs","season","hsym","asym","guid","lk"
"Boston Celtics","Cleveland Cavaliers",2013-03-27,93,92,2013,"CLE","BOS","CLEBOS20130327","201303270CLE"
"Brooklyn Nets","Portland Trail Blazers",2013-03-27,111,93,2013,"POR","BRK","PORBRK20130327","201303270POR"
"Denver Nuggets","San Antonio Spurs",2013-03-27,99,100,2013,"SAS","DEN","SASDEN20130327","201303270SAS"
"Indiana Pacers","Houston Rockets",2013-03-27,100,91,2013,"HOU","IND","HOUIND20130327","201303270HOU"
"Los Angeles Clippers","New Orleans Hornets",2013-03-27,105,91,2013,"NOH","LAC","NOHLAC20130327","201303270NOH"
"Los Angeles Lakers","Minnesota Timberwolves",2013-03-27,120,117,2013,"MIN","LAL","MINLAL20130327","201303270MIN"
"Memphis Grizzlies","New York Knicks",2013-03-27,101,108,2013,"NYK","MEM","NYKMEM20130327","201303270NYK"
"Miami Heat","Chicago Bulls",2013-03-27,97,101,2013,"CHI","MIA","CHIMIA20130327","201303270CHI"
"Milwaukee Bucks","Philadelphia 76ers",2013-03-27,92,100,2013,"PHI","MIL","PHIMIL20130327","201303270PHI"
"Orlando Magic","Charlotte Bobcats",2013-03-27,108,114,2013,"CHA","ORL","CHAORL20130327","201303270CHA"
"Phoenix Suns","Utah Jazz",2013-03-27,88,103,2013,"UTA","PHO","UTAPHO20130327","201303270UTA"
"Sacramento Kings","Golden State Warriors",2013-03-27,105,98,2013,"GSW","SAC","GSWSAC20130327","201303270GSW"
"Washington Wizards","Oklahoma City Thunder",2013-03-27,80,103,2013,"OKC","WAS","OKCWAS20130327","201303270OKC"
"Indiana Pacers","Dallas Mavericks",2013-03-28,103,78,2013,"DAL","IND","DALIND20130328","201303280DAL"
"Los Angeles Lakers","Milwaukee Bucks",2013-03-28,103,113,2013,"MIL","LAL","MILLAL20130328","201303280MIL"
"Sacramento Kings","Phoenix Suns",2013-03-28,117,103,2013,"PHO","SAC","PHOSAC20130328","201303280PHO"
"Atlanta Hawks","Boston Celtics",2013-03-29,107,118,2013,"BOS","ATL","BOSATL20130329","201303290BOS"
"Brooklyn Nets","Denver Nuggets",2013-03-29,87,109,2013,"DEN","BRK","DENBRK20130329","201303290DEN"
"Charlotte Bobcats","New York Knicks",2013-03-29,102,111,2013,"NYK","CHA","NYKCHA20130329","201303290NYK"
"Houston Rockets","Memphis Grizzlies",2013-03-29,94,103,2013,"MEM","HOU","MEMHOU20130329","201303290MEM"
"Los Angeles Clippers","San Antonio Spurs",2013-03-29,102,104,2013,"SAS","LAC","SASLAC20130329","201303290SAS"
"Miami Heat","New Orleans Hornets",2013-03-29,108,89,2013,"NOH","MIA","NOHMIA20130329","201303290NOH"
"Oklahoma City Thunder","Minnesota Timberwolves",2013-03-29,93,101,2013,"MIN","OKC","MINOKC20130329","201303290MIN"
"Philadelphia 76ers","Cleveland Cavaliers",2013-03-29,97,87,2013,"CLE","PHI","CLEPHI20130329","201303290CLE"
"Toronto Raptors","Detroit Pistons",2013-03-29,99,82,2013,"DET","TOR","DETTOR20130329","201303290DET"
"Utah Jazz","Portland Trail Blazers",2013-03-29,105,95,2013,"POR","UTA","PORUTA20130329","201303290POR"
"Washington Wizards","Orlando Magic",2013-03-29,92,97,2013,"ORL","WAS","ORLWAS20130329","201303290ORL"
"Brooklyn Nets","Utah Jazz",2013-03-30,107,116,2013,"UTA","BRK","UTABRK20130330","201303300UTA"
"Charlotte Bobcats","Philadelphia 76ers",2013-03-30,92,100,2013,"PHI","CHA","PHICHA20130330","201303300PHI"
"Chicago Bulls","Dallas Mavericks",2013-03-30,98,100,2013,"DAL","CHI","DALCHI20130330","201303300DAL"
"Indiana Pacers","Phoenix Suns",2013-03-30,112,104,2013,"PHO","IND","PHOIND20130330","201303300PHO"
"Los Angeles Clippers","Houston Rockets",2013-03-30,81,98,2013,"HOU","LAC","HOULAC20130330","201303300HOU"
"Los Angeles Lakers","Sacramento Kings",2013-03-30,103,98,2013,"SAC","LAL","SACLAL20130330","201303300SAC"
"Memphis Grizzlies","Minnesota Timberwolves",2013-03-30,99,86,2013,"MIN","MEM","MINMEM20130330","201303300MIN"
"Oklahoma City Thunder","Milwaukee Bucks",2013-03-30,109,99,2013,"MIL","OKC","MILOKC20130330","201303300MIL"
"Orlando Magic","Atlanta Hawks",2013-03-30,88,97,2013,"ATL","ORL","ATLORL20130330","201303300ATL"
"Portland Trail Blazers","Golden State Warriors",2013-03-30,98,125,2013,"GSW","POR","GSWPOR20130330","201303300GSW"
"Boston Celtics","New York Knicks",2013-03-31,89,108,2013,"NYK","BOS","NYKBOS20130331","201303310NYK"
"Cleveland Cavaliers","New Orleans Hornets",2013-03-31,92,112,2013,"NOH","CLE","NOHCLE20130331","201303310NOH"
"Detroit Pistons","Chicago Bulls",2013-03-31,94,95,2013,"CHI","DET","CHIDET20130331","201303310CHI"
"Miami Heat","San Antonio Spurs",2013-03-31,88,86,2013,"SAS","MIA","SASMIA20130331","201303310SAS"
"Toronto Raptors","Washington Wizards",2013-03-31,92,109,2013,"WAS","TOR","WASTOR20130331","201303310WAS"
"Boston Celtics","Minnesota Timberwolves",2013-04-01,100,110,2013,"MIN","BOS","MINBOS20130401","201304010MIN"
"Charlotte Bobcats","Milwaukee Bucks",2013-04-01,102,131,2013,"MIL","CHA","MILCHA20130401","201304010MIL"
"Cleveland Cavaliers","Atlanta Hawks",2013-04-01,94,102,2013,"ATL","CLE","ATLCLE20130401","201304010ATL"
"Detroit Pistons","Toronto Raptors",2013-04-01,108,98,2013,"TOR","DET","TORDET20130401","201304010TOR"
"Indiana Pacers","Los Angeles Clippers",2013-04-01,109,106,2013,"LAC","IND","LACIND20130401","201304010LAC"
"Orlando Magic","Houston Rockets",2013-04-01,103,111,2013,"HOU","ORL","HOUORL20130401","201304010HOU"
"Portland Trail Blazers","Utah Jazz",2013-04-01,102,112,2013,"UTA","POR","UTAPOR20130401","201304010UTA"
"San Antonio Spurs","Memphis Grizzlies",2013-04-01,90,92,2013,"MEM","SAS","MEMSAS20130401","201304010MEM"
"Chicago Bulls","Washington Wizards",2013-04-02,86,90,2013,"WAS","CHI","WASCHI20130402","201304020WAS"
"Dallas Mavericks","Los Angeles Lakers",2013-04-02,81,101,2013,"LAL","DAL","LALDAL20130402","201304020LAL"
"New York Knicks","Miami Heat",2013-04-02,102,90,2013,"MIA","NYK","MIANYK20130402","201304020MIA"
"Brooklyn Nets","Cleveland Cavaliers",2013-04-03,113,95,2013,"CLE","BRK","CLEBRK20130403","201304030CLE"
"Denver Nuggets","Utah Jazz",2013-04-03,113,96,2013,"UTA","DEN","UTADEN20130403","201304030UTA"
"Detroit Pistons","Boston Celtics",2013-04-03,93,98,2013,"BOS","DET","BOSDET20130403","201304030BOS"
"Houston Rockets","Sacramento Kings",2013-04-03,112,102,2013,"SAC","HOU","SACHOU20130403","201304030SAC"
"Memphis Grizzlies","Portland Trail Blazers",2013-04-03,94,76,2013,"POR","MEM","PORMEM20130403","201304030POR"
"Minnesota Timberwolves","Milwaukee Bucks",2013-04-03,107,98,2013,"MIL","MIN","MILMIN20130403","201304030MIL"
"New Orleans Hornets","Golden State Warriors",2013-04-03,88,98,2013,"GSW","NOH","GSWNOH20130403","201304030GSW"
"New York Knicks","Atlanta Hawks",2013-04-03,95,82,2013,"ATL","NYK","ATLNYK20130403","201304030ATL"
"Orlando Magic","San Antonio Spurs",2013-04-03,84,98,2013,"SAS","ORL","SASORL20130403","201304030SAS"
"Philadelphia 76ers","Charlotte Bobcats",2013-04-03,83,88,2013,"CHA","PHI","CHAPHI20130403","201304030CHA"
"Phoenix Suns","Los Angeles Clippers",2013-04-03,101,126,2013,"LAC","PHO","LACPHO20130403","201304030LAC"
"Washington Wizards","Toronto Raptors",2013-04-03,78,88,2013,"TOR","WAS","TORWAS20130403","201304030TOR"
"Chicago Bulls","Brooklyn Nets",2013-04-04,92,90,2013,"BRK","CHI","BRKCHI20130404","201304040BRK"
"Dallas Mavericks","Denver Nuggets",2013-04-04,94,95,2013,"DEN","DAL","DENDAL20130404","201304040DEN"
"San Antonio Spurs","Oklahoma City Thunder",2013-04-04,88,100,2013,"OKC","SAS","OKCSAS20130404","201304040OKC"
"Cleveland Cavaliers","Boston Celtics",2013-04-05,97,91,2013,"BOS","CLE","BOSCLE20130405","201304050BOS"
"Dallas Mavericks","Sacramento Kings",2013-04-05,117,108,2013,"SAC","DAL","SACDAL20130405","201304050SAC"
"Golden State Warriors","Phoenix Suns",2013-04-05,111,107,2013,"PHO","GSW","PHOGSW20130405","201304050PHO"
"Houston Rockets","Portland Trail Blazers",2013-04-05,116,98,2013,"POR","HOU","PORHOU20130405","201304050POR"
"Memphis Grizzlies","Los Angeles Lakers",2013-04-05,84,86,2013,"LAL","MEM","LALMEM20130405","201304050LAL"
"Miami Heat","Charlotte Bobcats",2013-04-05,89,79,2013,"CHA","MIA","CHAMIA20130405","201304050CHA"
"Milwaukee Bucks","New York Knicks",2013-04-05,83,101,2013,"NYK","MIL","NYKMIL20130405","201304050NYK"
"New Orleans Hornets","Utah Jazz",2013-04-05,83,95,2013,"UTA","NOH","UTANOH20130405","201304050UTA"
"Oklahoma City Thunder","Indiana Pacers",2013-04-05,97,75,2013,"IND","OKC","INDOKC20130405","201304050IND"
"Orlando Magic","Chicago Bulls",2013-04-05,86,87,2013,"CHI","ORL","CHIORL20130405","201304050CHI"
"Philadelphia 76ers","Atlanta Hawks",2013-04-05,101,90,2013,"ATL","PHI","ATLPHI20130405","201304050ATL"
"Toronto Raptors","Minnesota Timberwolves",2013-04-05,95,93,2013,"MIN","TOR","MINTOR20130405","201304050MIN"
"Atlanta Hawks","San Antonio Spurs",2013-04-06,97,99,2013,"SAS","ATL","SASATL20130406","201304060SAS"
"Charlotte Bobcats","Brooklyn Nets",2013-04-06,96,105,2013,"BRK","CHA","BRKCHA20130406","201304060BRK"
"Detroit Pistons","Minnesota Timberwolves",2013-04-06,101,107,2013,"MIN","DET","MINDET20130406","201304060MIN"
"Houston Rockets","Denver Nuggets",2013-04-06,114,132,2013,"DEN","HOU","DENHOU20130406","201304060DEN"
"Indiana Pacers","Washington Wizards",2013-04-06,85,104,2013,"WAS","IND","WASIND20130406","201304060WAS"
"Philadelphia 76ers","Miami Heat",2013-04-06,87,106,2013,"MIA","PHI","MIAPHI20130406","201304060MIA"
"Toronto Raptors","Milwaukee Bucks",2013-04-06,83,100,2013,"MIL","TOR","MILTOR20130406","201304060MIL"
"Chicago Bulls","Detroit Pistons",2013-04-07,85,99,2013,"DET","CHI","DETCHI20130407","201304070DET"
"Dallas Mavericks","Portland Trail Blazers",2013-04-07,96,91,2013,"POR","DAL","PORDAL20130407","201304070POR"
"Los Angeles Lakers","Los Angeles Clippers",2013-04-07,95,109,2013,"LAC","LAL","LACLAL20130407","201304070LAC"
"Memphis Grizzlies","Sacramento Kings",2013-04-07,89,87,2013,"SAC","MEM","SACMEM20130407","201304070SAC"
"New Orleans Hornets","Phoenix Suns",2013-04-07,95,92,2013,"PHO","NOH","PHONOH20130407","201304070PHO"
"New York Knicks","Oklahoma City Thunder",2013-04-07,125,120,2013,"OKC","NYK","OKCNYK20130407","201304070OKC"
"Orlando Magic","Cleveland Cavaliers",2013-04-07,85,91,2013,"CLE","ORL","CLEORL20130407","201304070CLE"
"Utah Jazz","Golden State Warriors",2013-04-07,97,90,2013,"GSW","UTA","GSWUTA20130407","201304070GSW"
"Washington Wizards","Boston Celtics",2013-04-07,96,107,2013,"BOS","WAS","BOSWAS20130407","201304070BOS"
"Charlotte Bobcats","Memphis Grizzlies",2013-04-09,75,94,2013,"MEM","CHA","MEMCHA20130409","201304090MEM"
"Cleveland Cavaliers","Indiana Pacers",2013-04-09,94,99,2013,"IND","CLE","INDCLE20130409","201304090IND"
"Milwaukee Bucks","Miami Heat",2013-04-09,83,94,2013,"MIA","MIL","MIAMIL20130409","201304090MIA"
"Minnesota Timberwolves","Golden State Warriors",2013-04-09,89,105,2013,"GSW","MIN","GSWMIN20130409","201304090GSW"
"New Orleans Hornets","Los Angeles Lakers",2013-04-09,96,104,2013,"LAL","NOH","LALNOH20130409","201304090LAL"
"Oklahoma City Thunder","Utah Jazz",2013-04-09,90,80,2013,"UTA","OKC","UTAOKC20130409","201304090UTA"
"Philadelphia 76ers","Brooklyn Nets",2013-04-09,83,104,2013,"BRK","PHI","BRKPHI20130409","201304090BRK"
"Phoenix Suns","Houston Rockets",2013-04-09,98,101,2013,"HOU","PHO","HOUPHO20130409","201304090HOU"
"Toronto Raptors","Chicago Bulls",2013-04-09,101,98,2013,"CHI","TOR","CHITOR20130409","201304090CHI"
"Washington Wizards","New York Knicks",2013-04-09,99,120,2013,"NYK","WAS","NYKWAS20130409","201304090NYK"
"Atlanta Hawks","Philadelphia 76ers",2013-04-10,124,101,2013,"PHI","ATL","PHIATL20130410","201304100PHI"
"Brooklyn Nets","Boston Celtics",2013-04-10,101,93,2013,"BOS","BRK","BOSBRK20130410","201304100BOS"
"Detroit Pistons","Cleveland Cavaliers",2013-04-10,111,104,2013,"CLE","DET","CLEDET20130410","201304100CLE"
"Los Angeles Lakers","Portland Trail Blazers",2013-04-10,113,106,2013,"POR","LAL","PORLAL20130410","201304100POR"
"Miami Heat","Washington Wizards",2013-04-10,103,98,2013,"WAS","MIA","WASMIA20130410","201304100WAS"
"Milwaukee Bucks","Orlando Magic",2013-04-10,103,113,2013,"ORL","MIL","ORLMIL20130410","201304100ORL"
"Minnesota Timberwolves","Los Angeles Clippers",2013-04-10,95,111,2013,"LAC","MIN","LACMIN20130410","201304100LAC"
"New Orleans Hornets","Sacramento Kings",2013-04-10,110,121,2013,"SAC","NOH","SACNOH20130410","201304100SAC"
"Phoenix Suns","Dallas Mavericks",2013-04-10,102,91,2013,"DAL","PHO","DALPHO20130410","201304100DAL"
"San Antonio Spurs","Denver Nuggets",2013-04-10,86,96,2013,"DEN","SAS","DENSAS20130410","201304100DEN"
"New York Knicks","Chicago Bulls",2013-04-11,111,118,2013,"CHI","NYK","CHINYK20130411","201304110CHI"
"Oklahoma City Thunder","Golden State Warriors",2013-04-11,116,97,2013,"GSW","OKC","GSWOKC20130411","201304110GSW"
"Boston Celtics","Miami Heat",2013-04-12,101,109,2013,"MIA","BOS","MIABOS20130412","201304120MIA"
"Brooklyn Nets","Indiana Pacers",2013-04-12,117,109,2013,"IND","BRK","INDBRK20130412","201304120IND"
"Charlotte Bobcats","Detroit Pistons",2013-04-12,93,113,2013,"DET","CHA","DETCHA20130412","201304120DET"
"Chicago Bulls","Toronto Raptors",2013-04-12,88,97,2013,"TOR","CHI","TORCHI20130412","201304120TOR"
"Denver Nuggets","Dallas Mavericks",2013-04-12,105,108,2013,"DAL","DEN","DALDEN20130412","201304120DAL"
"Golden State Warriors","Los Angeles Lakers",2013-04-12,116,118,2013,"LAL","GSW","LALGSW20130412","201304120LAL"
"Los Angeles Clippers","New Orleans Hornets",2013-04-12,96,93,2013,"NOH","LAC","NOHLAC20130412","201304120NOH"
"Memphis Grizzlies","Houston Rockets",2013-04-12,82,78,2013,"HOU","MEM","HOUMEM20130412","201304120HOU"
"Milwaukee Bucks","Atlanta Hawks",2013-04-12,104,109,2013,"ATL","MIL","ATLMIL20130412","201304120ATL"
"Minnesota Timberwolves","Utah Jazz",2013-04-12,100,107,2013,"UTA","MIN","UTAMIN20130412","201304120UTA"
"New York Knicks","Cleveland Cavaliers",2013-04-12,101,91,2013,"CLE","NYK","CLENYK20130412","201304120CLE"
"Oklahoma City Thunder","Portland Trail Blazers",2013-04-12,106,90,2013,"POR","OKC","POROKC20130412","201304120POR"
"Philadelphia 76ers","Washington Wizards",2013-04-12,97,86,2013,"WAS","PHI","WASPHI20130412","201304120WAS"
"Sacramento Kings","San Antonio Spurs",2013-04-12,101,108,2013,"SAS","SAC","SASSAC20130412","201304120SAS"
"Boston Celtics","Orlando Magic",2013-04-13,120,88,2013,"ORL","BOS","ORLBOS20130413","201304130ORL"
"Los Angeles Clippers","Memphis Grizzlies",2013-04-13,91,87,2013,"MEM","LAC","MEMLAC20130413","201304130MEM"
"Milwaukee Bucks","Charlotte Bobcats",2013-04-13,85,95,2013,"CHA","MIL","CHAMIL20130413","201304130CHA"
"Phoenix Suns","Minnesota Timberwolves",2013-04-13,93,105,2013,"MIN","PHO","MINPHO20130413","201304130MIN"
"Brooklyn Nets","Toronto Raptors",2013-04-14,87,93,2013,"TOR","BRK","TORBRK20130414","201304140TOR"
"Chicago Bulls","Miami Heat",2013-04-14,93,105,2013,"MIA","CHI","MIACHI20130414","201304140MIA"
"Cleveland Cavaliers","Philadelphia 76ers",2013-04-14,77,91,2013,"PHI","CLE","PHICLE20130414","201304140PHI"
"Dallas Mavericks","New Orleans Hornets",2013-04-14,107,89,2013,"NOH","DAL","NOHDAL20130414","201304140NOH"
"Indiana Pacers","New York Knicks",2013-04-14,80,90,2013,"NYK","IND","NYKIND20130414","201304140NYK"
"Portland Trail Blazers","Denver Nuggets",2013-04-14,109,118,2013,"DEN","POR","DENPOR20130414","201304140DEN"
"Sacramento Kings","Houston Rockets",2013-04-14,100,121,2013,"HOU","SAC","HOUSAC20130414","201304140HOU"
"San Antonio Spurs","Los Angeles Lakers",2013-04-14,86,91,2013,"LAL","SAS","LALSAS20130414","201304140LAL"
"Chicago Bulls","Orlando Magic",2013-04-15,102,84,2013,"ORL","CHI","ORLCHI20130415","201304150ORL"
"Denver Nuggets","Milwaukee Bucks",2013-04-15,112,111,2013,"MIL","DEN","MILDEN20130415","201304150MIL"
"Houston Rockets","Phoenix Suns",2013-04-15,112,119,2013,"PHO","HOU","PHOHOU20130415","201304150PHO"
"Memphis Grizzlies","Dallas Mavericks",2013-04-15,103,97,2013,"DAL","MEM","DALMEM20130415","201304150DAL"
"Miami Heat","Cleveland Cavaliers",2013-04-15,96,95,2013,"CLE","MIA","CLEMIA20130415","201304150CLE"
"New York Knicks","Charlotte Bobcats",2013-04-15,95,106,2013,"CHA","NYK","CHANYK20130415","201304150CHA"
"Philadelphia 76ers","Detroit Pistons",2013-04-15,101,109,2013,"DET","PHI","DETPHI20130415","201304150DET"
"Sacramento Kings","Oklahoma City Thunder",2013-04-15,95,104,2013,"OKC","SAC","OKCSAC20130415","201304150OKC"
"San Antonio Spurs","Golden State Warriors",2013-04-15,106,116,2013,"GSW","SAS","GSWSAS20130415","201304150GSW"
"Utah Jazz","Minnesota Timberwolves",2013-04-15,96,80,2013,"MIN","UTA","MINUTA20130415","201304150MIN"
"Washington Wizards","Brooklyn Nets",2013-04-15,101,106,2013,"BRK","WAS","BRKWAS20130415","201304150BRK"
"Portland Trail Blazers","Los Angeles Clippers",2013-04-16,77,93,2013,"LAC","POR","LACPOR20130416","201304160LAC"
"Toronto Raptors","Atlanta Hawks",2013-04-16,113,96,2013,"ATL","TOR","ATLTOR20130416","201304160ATL"
"Atlanta Hawks","New York Knicks",2013-04-17,92,98,2013,"NYK","ATL","NYKATL20130417","201304170NYK"
"Boston Celtics","Toronto Raptors",2013-04-17,90,114,2013,"TOR","BOS","TORBOS20130417","201304170TOR"
"Cleveland Cavaliers","Charlotte Bobcats",2013-04-17,98,105,2013,"CHA","CLE","CHACLE20130417","201304170CHA"
"Detroit Pistons","Brooklyn Nets",2013-04-17,99,103,2013,"BRK","DET","BRKDET20130417","201304170BRK"
"Golden State Warriors","Portland Trail Blazers",2013-04-17,99,88,2013,"POR","GSW","PORGSW20130417","201304170POR"
"Houston Rockets","Los Angeles Lakers",2013-04-17,95,99,2013,"LAL","HOU","LALHOU20130417","201304170LAL"
"Los Angeles Clippers","Sacramento Kings",2013-04-17,112,108,2013,"SAC","LAC","SACLAC20130417","201304170SAC"
"Milwaukee Bucks","Oklahoma City Thunder",2013-04-17,95,89,2013,"OKC","MIL","OKCMIL20130417","201304170OKC"
"Minnesota Timberwolves","San Antonio Spurs",2013-04-17,108,95,2013,"SAS","MIN","SASMIN20130417","201304170SAS"
"New Orleans Hornets","Dallas Mavericks",2013-04-17,87,99,2013,"DAL","NOH","DALNOH20130417","201304170DAL"
"Orlando Magic","Miami Heat",2013-04-17,93,105,2013,"MIA","ORL","MIAORL20130417","201304170MIA"
"Philadelphia 76ers","Indiana Pacers",2013-04-17,105,95,2013,"IND","PHI","INDPHI20130417","201304170IND"
"Phoenix Suns","Denver Nuggets",2013-04-17,98,118,2013,"DEN","PHO","DENPHO20130417","201304170DEN"
"Utah Jazz","Memphis Grizzlies",2013-04-17,70,86,2013,"MEM","UTA","MEMUTA20130417","201304170MEM"
"Washington Wizards","Chicago Bulls",2013-04-17,92,95,2013,"CHI","WAS","CHIWAS20130417","201304170CHI"
"Boston Celtics","New York Knicks",2013-04-20,78,85,2013,"NYK","BOS","NYKBOS20130420","201304200NYK"
"Chicago Bulls","Brooklyn Nets",2013-04-20,89,106,2013,"BRK","CHI","BRKCHI20130420","201304200BRK"
"Golden State Warriors","Denver Nuggets",2013-04-20,95,97,2013,"DEN","GSW","DENGSW20130420","201304200DEN"
"Memphis Grizzlies","Los Angeles Clippers",2013-04-20,91,112,2013,"LAC","MEM","LACMEM20130420","201304200LAC"
"Atlanta Hawks","Indiana Pacers",2013-04-21,90,107,2013,"IND","ATL","INDATL20130421","201304210IND"
"Houston Rockets","Oklahoma City Thunder",2013-04-21,91,120,2013,"OKC","HOU","OKCHOU20130421","201304210OKC"
"Los Angeles Lakers","San Antonio Spurs",2013-04-21,79,91,2013,"SAS","LAL","SASLAL20130421","201304210SAS"
"Milwaukee Bucks","Miami Heat",2013-04-21,87,110,2013,"MIA","MIL","MIAMIL20130421","201304210MIA"
"Chicago Bulls","Brooklyn Nets",2013-04-22,90,82,2013,"BRK","CHI","BRKCHI20130422","201304220BRK"
"Memphis Grizzlies","Los Angeles Clippers",2013-04-22,91,93,2013,"LAC","MEM","LACMEM20130422","201304220LAC"
"Boston Celtics","New York Knicks",2013-04-23,71,87,2013,"NYK","BOS","NYKBOS20130423","201304230NYK"
"Golden State Warriors","Denver Nuggets",2013-04-23,131,117,2013,"DEN","GSW","DENGSW20130423","201304230DEN"
"Milwaukee Bucks","Miami Heat",2013-04-23,86,98,2013,"MIA","MIL","MIAMIL20130423","201304230MIA"
"Atlanta Hawks","Indiana Pacers",2013-04-24,98,113,2013,"IND","ATL","INDATL20130424","201304240IND"
"Houston Rockets","Oklahoma City Thunder",2013-04-24,102,105,2013,"OKC","HOU","OKCHOU20130424","201304240OKC"
"Los Angeles Lakers","San Antonio Spurs",2013-04-24,91,102,2013,"SAS","LAL","SASLAL20130424","201304240SAS"
"Brooklyn Nets","Chicago Bulls",2013-04-25,76,79,2013,"CHI","BRK","CHIBRK20130425","201304250CHI"
"Los Angeles Clippers","Memphis Grizzlies",2013-04-25,82,94,2013,"MEM","LAC","MEMLAC20130425","201304250MEM"
"Miami Heat","Milwaukee Bucks",2013-04-25,104,91,2013,"MIL","MIA","MILMIA20130425","201304250MIL"
"Denver Nuggets","Golden State Warriors",2013-04-26,108,110,2013,"GSW","DEN","GSWDEN20130426","201304260GSW"
"New York Knicks","Boston Celtics",2013-04-26,90,76,2013,"BOS","NYK","BOSNYK20130426","201304260BOS"
"San Antonio Spurs","Los Angeles Lakers",2013-04-26,120,89,2013,"LAL","SAS","LALSAS20130426","201304260LAL"
"Brooklyn Nets","Chicago Bulls",2013-04-27,134,142,2013,"CHI","BRK","CHIBRK20130427","201304270CHI"
"Indiana Pacers","Atlanta Hawks",2013-04-27,69,90,2013,"ATL","IND","ATLIND20130427","201304270ATL"
"Los Angeles Clippers","Memphis Grizzlies",2013-04-27,83,104,2013,"MEM","LAC","MEMLAC20130427","201304270MEM"
"Oklahoma City Thunder","Houston Rockets",2013-04-27,104,101,2013,"HOU","OKC","HOUOKC20130427","201304270HOU"
"Denver Nuggets","Golden State Warriors",2013-04-28,101,115,2013,"GSW","DEN","GSWDEN20130428","201304280GSW"
"Miami Heat","Milwaukee Bucks",2013-04-28,88,77,2013,"MIL","MIA","MILMIA20130428","201304280MIL"
"New York Knicks","Boston Celtics",2013-04-28,90,97,2013,"BOS","NYK","BOSNYK20130428","201304280BOS"
"San Antonio Spurs","Los Angeles Lakers",2013-04-28,103,82,2013,"LAL","SAS","LALSAS20130428","201304280LAL"
"Chicago Bulls","Brooklyn Nets",2013-04-29,91,110,2013,"BRK","CHI","BRKCHI20130429","201304290BRK"
"Indiana Pacers","Atlanta Hawks",2013-04-29,91,102,2013,"ATL","IND","ATLIND20130429","201304290ATL"
"Oklahoma City Thunder","Houston Rockets",2013-04-29,103,105,2013,"HOU","OKC","HOUOKC20130429","201304290HOU"
"Golden State Warriors","Denver Nuggets",2013-04-30,100,107,2013,"DEN","GSW","DENGSW20130430","201304300DEN"
"Memphis Grizzlies","Los Angeles Clippers",2013-04-30,103,93,2013,"LAC","MEM","LACMEM20130430","201304300LAC"
"Atlanta Hawks","Indiana Pacers",2013-05-01,83,106,2013,"IND","ATL","INDATL20130501","201305010IND"
"Boston Celtics","New York Knicks",2013-05-01,92,86,2013,"NYK","BOS","NYKBOS20130501","201305010NYK"
"Houston Rockets","Oklahoma City Thunder",2013-05-01,107,100,2013,"OKC","HOU","OKCHOU20130501","201305010OKC"
"Brooklyn Nets","Chicago Bulls",2013-05-02,95,92,2013,"CHI","BRK","CHIBRK20130502","201305020CHI"
"Denver Nuggets","Golden State Warriors",2013-05-02,88,92,2013,"GSW","DEN","GSWDEN20130502","201305020GSW"
"Indiana Pacers","Atlanta Hawks",2013-05-03,81,73,2013,"ATL","IND","ATLIND20130503","201305030ATL"
"Los Angeles Clippers","Memphis Grizzlies",2013-05-03,105,118,2013,"MEM","LAC","MEMLAC20130503","201305030MEM"
"New York Knicks","Boston Celtics",2013-05-03,88,80,2013,"BOS","NYK","BOSNYK20130503","201305030BOS"
"Oklahoma City Thunder","Houston Rockets",2013-05-03,103,94,2013,"HOU","OKC","HOUOKC20130503","201305030HOU"
"Chicago Bulls","Brooklyn Nets",2013-05-04,99,93,2013,"BRK","CHI","BRKCHI20130504","201305040BRK"
"Indiana Pacers","New York Knicks",2013-05-05,102,95,2013,"NYK","IND","NYKIND20130505","201305050NYK"
"Memphis Grizzlies","Oklahoma City Thunder",2013-05-05,91,93,2013,"OKC","MEM","OKCMEM20130505","201305050OKC"
"Chicago Bulls","Miami Heat",2013-05-06,93,86,2013,"MIA","CHI","MIACHI20130506","201305060MIA"
"Golden State Warriors","San Antonio Spurs",2013-05-06,127,129,2013,"SAS","GSW","SASGSW20130506","201305060SAS"
"Indiana Pacers","New York Knicks",2013-05-07,79,105,2013,"NYK","IND","NYKIND20130507","201305070NYK"
"Memphis Grizzlies","Oklahoma City Thunder",2013-05-07,99,93,2013,"OKC","MEM","OKCMEM20130507","201305070OKC"
"Chicago Bulls","Miami Heat",2013-05-08,78,115,2013,"MIA","CHI","MIACHI20130508","201305080MIA"
"Golden State Warriors","San Antonio Spurs",2013-05-08,100,91,2013,"SAS","GSW","SASGSW20130508","201305080SAS"
"Miami Heat","Chicago Bulls",2013-05-10,104,94,2013,"CHI","MIA","CHIMIA20130510","201305100CHI"
"San Antonio Spurs","Golden State Warriors",2013-05-10,102,92,2013,"GSW","SAS","GSWSAS20130510","201305100GSW"
"New York Knicks","Indiana Pacers",2013-05-11,71,82,2013,"IND","NYK","INDNYK20130511","201305110IND"
"Oklahoma City Thunder","Memphis Grizzlies",2013-05-11,81,87,2013,"MEM","OKC","MEMOKC20130511","201305110MEM"
"San Antonio Spurs","Golden State Warriors",2013-05-12,87,97,2013,"GSW","SAS","GSWSAS20130512","201305120GSW"
"Miami Heat","Chicago Bulls",2013-05-13,88,65,2013,"CHI","MIA","CHIMIA20130513","201305130CHI"
